,Symbols,Description
9094,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.VENEZUELA_RB,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Venezuela, RB"
9095,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.VIET_NAM,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Viet Nam"
9096,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.WORLD_(WBG_MEMBERS),"Imports Merchandise, Customs, current US$, millions, seas. adj. for World (WBG members)"
9097,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.SAMOA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Samoa"
9098,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.SOUTH_AFRICA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for South Africa"
9099,GEM.IMPORTS_MERCHANDISE_CUSTOMS_CURRENT_US$_MILLIONS_SEAS_ADJ.ZAMBIA,"Imports Merchandise, Customs, current US$, millions, seas. adj. for Zambia"
9100,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.ADVANCED_ECONOMIES,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Advanced Economies"
9101,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.ARGENTINA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Argentina"
9102,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.AUSTRALIA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Australia"
9103,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.AUSTRIA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Austria"
9104,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.BELGIUM,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Belgium"
9105,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.BULGARIA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Bulgaria"
9106,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.BRAZIL,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Brazil"
9107,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.CANADA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Canada"
9108,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.CHILE,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Chile"
9109,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.CHINA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for China"
9110,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.CZECH_REPUBLIC,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Czech Republic"
9111,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.GERMANY,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Germany"
9112,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.DENMARK,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Denmark"
9113,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.ALGERIA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Algeria"
9114,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.EMDE_EAST_ASIA_&_PACIFIC,"Imports Merchandise, Customs, Price, US$, not seas. adj. for EMDE East Asia & Pacific"
9115,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.EMDE_EUROPE_&_CENTRAL_ASIA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for EMDE Europe & Central Asia"
9116,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.EMERGING_MARKET_AND_DEVELOPING_ECONOMIES_(EMDES),"Imports Merchandise, Customs, Price, US$, not seas. adj. for Emerging Market and Developing Economies (EMDEs)"
9117,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.SPAIN,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Spain"
9118,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.ESTONIA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Estonia"
9119,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.FINLAND,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Finland"
9120,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.FRANCE,"Imports Merchandise, Customs, Price, US$, not seas. adj. for France"
9121,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.HIGH_INCOME_COUNTRIES,"Imports Merchandise, Customs, Price, US$, not seas. adj. for High Income Countries"
9122,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.HONG_KONG_SAR_CHINA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Hong Kong SAR, China"
9123,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.HUNGARY,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Hungary"
9124,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.INDONESIA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Indonesia"
9125,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.IRELAND,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Ireland"
9126,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.ICELAND,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Iceland"
9127,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.ISRAEL,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Israel"
9128,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.ITALY,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Italy"
9129,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.JORDAN,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Jordan"
9130,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.JAPAN,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Japan"
9131,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.KAZAKHSTAN,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Kazakhstan"
9132,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.KOREA_REP,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Korea, Rep."
9133,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.EMDE_LATIN_AMERICA_&_CARIBBEAN,"Imports Merchandise, Customs, Price, US$, not seas. adj. for EMDE Latin America & Caribbean"
9134,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.MEXICO,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Mexico"
9135,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.MIDDLE-INCOME_COUNTRIES_(MIC),"Imports Merchandise, Customs, Price, US$, not seas. adj. for Middle-Income Countries (MIC)"
9136,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.EMDE_MIDDLE_EAST_&_N_AFRICA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for EMDE Middle East & N. Africa"
9137,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.MALAYSIA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Malaysia"
9138,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.NETHERLANDS,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Netherlands"
9139,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.NORWAY,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Norway"
9140,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.NEW_ZEALAND,"Imports Merchandise, Customs, Price, US$, not seas. adj. for New Zealand"
9141,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.PERU,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Peru"
9142,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.PHILIPPINES,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Philippines"
9143,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.POLAND,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Poland"
9144,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.RUSSIAN_FEDERATION,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Russian Federation"
9145,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.SINGAPORE,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Singapore"
9146,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.SLOVAKIA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Slovakia"
9147,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.THAILAND,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Thailand"
9148,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.TURKEY,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Turkey"
9149,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.TAIWAN_CHINA,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Taiwan, China"
9150,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.UNITED_STATES,"Imports Merchandise, Customs, Price, US$, not seas. adj. for United States"
9151,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.VIET_NAM,"Imports Merchandise, Customs, Price, US$, not seas. adj. for Viet Nam"
9152,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_NOT_SEAS_ADJ.WORLD_(WBG_MEMBERS),"Imports Merchandise, Customs, Price, US$, not seas. adj. for World (WBG members)"
9153,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.ADVANCED_ECONOMIES,"Imports Merchandise, Customs, Price, US$, seas. adj. for Advanced Economies"
9154,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.ARGENTINA,"Imports Merchandise, Customs, Price, US$, seas. adj. for Argentina"
9155,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.AUSTRALIA,"Imports Merchandise, Customs, Price, US$, seas. adj. for Australia"
9156,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.AUSTRIA,"Imports Merchandise, Customs, Price, US$, seas. adj. for Austria"
9157,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.BELGIUM,"Imports Merchandise, Customs, Price, US$, seas. adj. for Belgium"
9158,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.BULGARIA,"Imports Merchandise, Customs, Price, US$, seas. adj. for Bulgaria"
9159,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.BRAZIL,"Imports Merchandise, Customs, Price, US$, seas. adj. for Brazil"
9160,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.CANADA,"Imports Merchandise, Customs, Price, US$, seas. adj. for Canada"
9161,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.CHILE,"Imports Merchandise, Customs, Price, US$, seas. adj. for Chile"
9162,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.CHINA,"Imports Merchandise, Customs, Price, US$, seas. adj. for China"
9163,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.CZECH_REPUBLIC,"Imports Merchandise, Customs, Price, US$, seas. adj. for Czech Republic"
9164,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.GERMANY,"Imports Merchandise, Customs, Price, US$, seas. adj. for Germany"
9165,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.DENMARK,"Imports Merchandise, Customs, Price, US$, seas. adj. for Denmark"
9166,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.ALGERIA,"Imports Merchandise, Customs, Price, US$, seas. adj. for Algeria"
9167,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.EMDE_EAST_ASIA_&_PACIFIC,"Imports Merchandise, Customs, Price, US$, seas. adj. for EMDE East Asia & Pacific"
9168,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.EMDE_EUROPE_&_CENTRAL_ASIA,"Imports Merchandise, Customs, Price, US$, seas. adj. for EMDE Europe & Central Asia"
9169,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.EMERGING_MARKET_AND_DEVELOPING_ECONOMIES_(EMDES),"Imports Merchandise, Customs, Price, US$, seas. adj. for Emerging Market and Developing Economies (EMDEs)"
9170,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.SPAIN,"Imports Merchandise, Customs, Price, US$, seas. adj. for Spain"
9171,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.ESTONIA,"Imports Merchandise, Customs, Price, US$, seas. adj. for Estonia"
9172,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.FINLAND,"Imports Merchandise, Customs, Price, US$, seas. adj. for Finland"
9173,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.FRANCE,"Imports Merchandise, Customs, Price, US$, seas. adj. for France"
9174,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.UNITED_KINGDOM,"Imports Merchandise, Customs, Price, US$, seas. adj. for United Kingdom"
9175,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.HIGH_INCOME_COUNTRIES,"Imports Merchandise, Customs, Price, US$, seas. adj. for High Income Countries"
9176,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.HONG_KONG_SAR_CHINA,"Imports Merchandise, Customs, Price, US$, seas. adj. for Hong Kong SAR, China"
9177,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.HUNGARY,"Imports Merchandise, Customs, Price, US$, seas. adj. for Hungary"
9178,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.INDONESIA,"Imports Merchandise, Customs, Price, US$, seas. adj. for Indonesia"
9179,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.IRELAND,"Imports Merchandise, Customs, Price, US$, seas. adj. for Ireland"
9180,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.ISRAEL,"Imports Merchandise, Customs, Price, US$, seas. adj. for Israel"
9181,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.ITALY,"Imports Merchandise, Customs, Price, US$, seas. adj. for Italy"
9182,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.JORDAN,"Imports Merchandise, Customs, Price, US$, seas. adj. for Jordan"
9183,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.JAPAN,"Imports Merchandise, Customs, Price, US$, seas. adj. for Japan"
9184,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.KAZAKHSTAN,"Imports Merchandise, Customs, Price, US$, seas. adj. for Kazakhstan"
9185,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.KOREA_REP,"Imports Merchandise, Customs, Price, US$, seas. adj. for Korea, Rep."
9186,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.EMDE_LATIN_AMERICA_&_CARIBBEAN,"Imports Merchandise, Customs, Price, US$, seas. adj. for EMDE Latin America & Caribbean"
9187,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.MEXICO,"Imports Merchandise, Customs, Price, US$, seas. adj. for Mexico"
9188,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.MIDDLE-INCOME_COUNTRIES_(MIC),"Imports Merchandise, Customs, Price, US$, seas. adj. for Middle-Income Countries (MIC)"
9189,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.EMDE_MIDDLE_EAST_&_N_AFRICA,"Imports Merchandise, Customs, Price, US$, seas. adj. for EMDE Middle East & N. Africa"
9190,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.MALAYSIA,"Imports Merchandise, Customs, Price, US$, seas. adj. for Malaysia"
9191,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.NETHERLANDS,"Imports Merchandise, Customs, Price, US$, seas. adj. for Netherlands"
9192,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.NORWAY,"Imports Merchandise, Customs, Price, US$, seas. adj. for Norway"
9193,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.NEW_ZEALAND,"Imports Merchandise, Customs, Price, US$, seas. adj. for New Zealand"
9194,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.PERU,"Imports Merchandise, Customs, Price, US$, seas. adj. for Peru"
9195,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.PHILIPPINES,"Imports Merchandise, Customs, Price, US$, seas. adj. for Philippines"
9196,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.POLAND,"Imports Merchandise, Customs, Price, US$, seas. adj. for Poland"
9197,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.RUSSIAN_FEDERATION,"Imports Merchandise, Customs, Price, US$, seas. adj. for Russian Federation"
9198,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.SINGAPORE,"Imports Merchandise, Customs, Price, US$, seas. adj. for Singapore"
9199,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.EMDE_SUB-SAHARAN_AFRICA,"Imports Merchandise, Customs, Price, US$, seas. adj. for EMDE Sub-Saharan Africa"
9200,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.SLOVAKIA,"Imports Merchandise, Customs, Price, US$, seas. adj. for Slovakia"
9201,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.THAILAND,"Imports Merchandise, Customs, Price, US$, seas. adj. for Thailand"
9202,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.TURKEY,"Imports Merchandise, Customs, Price, US$, seas. adj. for Turkey"
9203,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.TAIWAN_CHINA,"Imports Merchandise, Customs, Price, US$, seas. adj. for Taiwan, China"
9204,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.UNITED_STATES,"Imports Merchandise, Customs, Price, US$, seas. adj. for United States"
9205,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.VIET_NAM,"Imports Merchandise, Customs, Price, US$, seas. adj. for Viet Nam"
9206,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.WORLD_(WBG_MEMBERS),"Imports Merchandise, Customs, Price, US$, seas. adj. for World (WBG members)"
9207,GEM.IMPORTS_MERCHANDISE_CUSTOMS_PRICE_US$_SEAS_ADJ.SOUTH_AFRICA,"Imports Merchandise, Customs, Price, US$, seas. adj. for South Africa"
9208,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.ADVANCED_ECONOMIES,"Industrial Production, constant 2010 US$, not seas. adj. for Advanced Economies"
9209,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.AUSTRIA,"Industrial Production, constant 2010 US$, not seas. adj. for Austria"
9210,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.BELGIUM,"Industrial Production, constant 2010 US$, not seas. adj. for Belgium"
9211,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.BANGLADESH,"Industrial Production, constant 2010 US$, not seas. adj. for Bangladesh"
9212,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.BULGARIA,"Industrial Production, constant 2010 US$, not seas. adj. for Bulgaria"
9213,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.BOSNIA_AND_HERZEGOVINA,"Industrial Production, constant 2010 US$, not seas. adj. for Bosnia and Herzegovina"
9214,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.BELARUS,"Industrial Production, constant 2010 US$, not seas. adj. for Belarus"
9215,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.BRAZIL,"Industrial Production, constant 2010 US$, not seas. adj. for Brazil"
9216,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.BARBADOS,"Industrial Production, constant 2010 US$, not seas. adj. for Barbados"
9217,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.CANADA,"Industrial Production, constant 2010 US$, not seas. adj. for Canada"
9218,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.CHILE,"Industrial Production, constant 2010 US$, not seas. adj. for Chile"
9219,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.CHINA,"Industrial Production, constant 2010 US$, not seas. adj. for China"
9220,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.COLOMBIA,"Industrial Production, constant 2010 US$, not seas. adj. for Colombia"
9221,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.COSTA_RICA,"Industrial Production, constant 2010 US$, not seas. adj. for Costa Rica"
9222,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.CYPRUS,"Industrial Production, constant 2010 US$, not seas. adj. for Cyprus"
9223,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.CZECH_REPUBLIC,"Industrial Production, constant 2010 US$, not seas. adj. for Czech Republic"
9224,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.GERMANY,"Industrial Production, constant 2010 US$, not seas. adj. for Germany"
9225,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.DENMARK,"Industrial Production, constant 2010 US$, not seas. adj. for Denmark"
9226,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.EMDE_EAST_ASIA_&_PACIFIC,"Industrial Production, constant 2010 US$, not seas. adj. for EMDE East Asia & Pacific"
9227,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.EMDE_EUROPE_&_CENTRAL_ASIA,"Industrial Production, constant 2010 US$, not seas. adj. for EMDE Europe & Central Asia"
9228,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.ECUADOR,"Industrial Production, constant 2010 US$, not seas. adj. for Ecuador"
9229,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.EGYPT_ARAB_REP,"Industrial Production, constant 2010 US$, not seas. adj. for Egypt, Arab Rep."
9230,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.EMERGING_MARKET_AND_DEVELOPING_ECONOMIES_(EMDES),"Industrial Production, constant 2010 US$, not seas. adj. for Emerging Market and Developing Economies (EMDEs)"
9231,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.SPAIN,"Industrial Production, constant 2010 US$, not seas. adj. for Spain"
9232,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.ESTONIA,"Industrial Production, constant 2010 US$, not seas. adj. for Estonia"
9233,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.FINLAND,"Industrial Production, constant 2010 US$, not seas. adj. for Finland"
9234,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.FRANCE,"Industrial Production, constant 2010 US$, not seas. adj. for France"
9235,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.UNITED_KINGDOM,"Industrial Production, constant 2010 US$, not seas. adj. for United Kingdom"
9236,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.GREECE,"Industrial Production, constant 2010 US$, not seas. adj. for Greece"
9237,GEM.INDUSTRIAL_PRODUCTION_CONSTANT_2010_US$_NOT_SEAS_ADJ.GUATEMALA,"Industrial Production, constant 2010 US$, not seas. adj. for Guatemala"
